subject,predicate,object
ex_comp:54,hasName,C. Gathmann Computer-System-Beratung GmbH
ex_comp:26,hasAddress,ex_addr:24
ex_addr:17,hasStreet,Gaußstraße 158
ex_addr:32,rdf:type,ex:Address
ex_addr:69,hasStreet,Harderweg 1
ex_comp:12,hasName,Neunte Grundstücksverwaltung AHG-Beteiligungs- und Handelsgesellschaft mbH & Co. KG
ex_addr:46,hasStreet,Rosenstraße 2
ex_comp:22,hasAddress,ex_addr:20
ex_comp:63,rdf:type,ex:Company
ex_addr:30,hasStreet,Goldbekplatz 1
ex_comp:29,rdf:type,ex:Company
ex_comp:34,rdf:type,ex:Company
ex_comp:56,hasFNR,R1101_HRB77984
ex_comp:94,hasName,Hartungstraße 12 Verwaltungsgesellschaft mbH
ex_addr:15,hasAddress,"Jacobsenweg 7, 22525 Hamburg."
ex_addr:90,hasStreet,Seevestraße 1
ex_addr:21,hasPLZ,22605
ex_addr:53,hasCity,Düsseldorf.
ex_comp:86,hasName,Sasol Wax GmbH
ex_addr:20,rdf:type,ex:Address
ex_addr:19,hasPLZ,20459
ex_addr:51,rdf:type,ex:Address
ex_comp:44,hasName,Schmidts Tivoli Gastspiel GmbH
ex_addr:58,hasCity,Bremen..
ex_comp:3,rdf:type,ex:Company
ex_addr:16,hasCity,Düsseldorf.
ex_comp:15,rdf:type,ex:Company
ex_comp:58,hasName,Beiersdorf Aktiengesellschaft
ex_addr:34,rdf:type,ex:Address
ex_addr:90,rdf:type,ex:Address
ex_addr:50,hasCity,Hamburg.
ex_addr:46,rdf:type,ex:Address
ex_comp:20,hasAddress,ex_addr:18
ex_addr:45,hasStreet,Ludwig-Erhard-Straße 22
ex_addr:36,hasPLZ,40213
ex_addr:63,hasStreet,Domstraße 19
ex_addr:60,hasStreet,Mattentwiete 1
ex_comp:31,hasAddress,ex_addr:29
ex_comp:9,hasAddress,ex_addr:9
ex_addr:41,hasStreet,Friedensallee 271
ex_addr:7,hasStreet,Königstraße 28
ex_addr:80,rdf:type,ex:Address
ex_comp:89,rdf:type,ex:Company
ex_addr:79,hasStreet,Krefelder Straße 85
ex_comp:14,hasAddress,ex_addr:12
ex_comp:50,rdf:type,ex:Company
ex_addr:31,hasAddress,"Neuer Wall 54, 20354 Hamburg."
ex_comp:60,hasAddress,ex_addr:56
ex_addr:72,rdf:type,ex:Address
ex_comp:74,hasName,Atlantik Hafenbetriebe Geuther & Schnitger GmbH & Co. KG
ex_addr:69,hasPLZ,22549
ex_comp:28,hasAddress,ex_addr:26
ex_addr:13,hasAddress,"Gasstraße 4 c, 22761 Hamburg."
ex_comp:25,hasAddress,ex_addr:23
ex_comp:38,hasName,KidINVEST GmbH
ex_addr:25,hasStreet,Rhenaniastraße 16
ex_addr:19,rdf:type,ex:Address
ex_addr:62,hasCity,Hamburg.
ex_comp:15,hasName,S-KON Sales Kontor Hamburg GmbH
ex_addr:85,hasAddress,"Ostertorsteinweg 85, 28203 Bremen"
ex_comp:26,hasName,Dr. Gottfried Neuhaus Treuhand GmbH
ex_addr:88,hasPLZ,20148
ex_comp:71,hasName,Merica Capital GmbH
ex_addr:33,hasStreet,Am Schüttenhof 16
ex_comp:13,rdf:type,ex:Company
ex_addr:20,hasAddress,"Cremon 3, 20457 Hamburg."
ex_addr:58,rdf:type,ex:Address
ex_addr:29,hasStreet,Leipoldstieg 5
ex_addr:42,hasStreet,Spielbudenplatz 27-28
ex_comp:85,rdf:type,ex:Company
ex_comp:70,hasAddress,ex_addr:63
ex_addr:44,hasAddress,"Mühlenhagen 130, 20539 Hamburg."
ex_comp:16,hasAddress,ex_addr:14
ex_comp:75,rdf:type,ex:Company
ex_comp:9,rdf:type,ex:Company
ex_comp:14,rdf:type,ex:Company
ex_comp:45,rdf:type,ex:Company
ex_addr:28,hasCity,Düsseldorf.
ex_comp:15,hasFNR,K1101R_HRB98815
ex_comp:10,hasFNR,K1101R_HRB136672
ex_comp:8,rdf:type,ex:Company
ex_comp:13,hasAddress,ex_addr:9
ex_comp:38,rdf:type,ex:Company
ex_addr:30,hasCity,Hamburg.
ex_addr:81,hasPLZ,28203
ex_addr:88,hasCity,Hamburg.
ex_comp:91,hasName,R.F.L. Gewerbe Immobilien Verwaltungs GmbH
ex_addr:15,hasStreet,Jacobsenweg 7
ex_addr:29,rdf:type,ex:Address
ex_comp:25,rdf:type,ex:Company
ex_addr:17,hasPLZ,22765
ex_addr:76,rdf:type,ex:Address
ex_addr:83,hasStreet,Jägerhofstraße 10
ex_addr:38,rdf:type,ex:Address
ex_addr:46,hasCity,Hamburg.
ex_comp:80,rdf:type,ex:Company
ex_comp:1,hasName,olly UG (haftungsbeschränkt)
ex_comp:6,rdf:type,ex:Company
ex_comp:28,hasName,Panasonic Europe Ltd. Zweigniederlassung Deutschland Hamburg Office
ex_comp:83,hasAddress,ex_addr:75
ex_comp:48,rdf:type,ex:Company
ex_comp:97,rdf:type,ex:Company
ex_comp:33,hasAddress,ex_addr:31
ex_comp:44,rdf:type,ex:Company
ex_addr:22,rdf:type,ex:Address
ex_addr:31,rdf:type,ex:Address
ex_addr:33,hasPLZ,40472
ex_addr:5,hasAddress,"ERGO-Platz 1, 40477 Düsseldorf."
ex_comp:30,hasFNR,R1101_HRB36406
ex_comp:52,hasFNR,R1101_HRB39820
ex_comp:88,hasAddress,ex_addr:16
ex_addr:13,hasStreet,Gasstraße 4 c
ex_addr:65,hasCity,Bremen
ex_addr:10,hasCity,Hamburg.
ex_addr:42,rdf:type,ex:Address
ex_comp:85,hasAddress,ex_addr:77
ex_addr:65,rdf:type,ex:Address
ex_comp:6,hasName,Rheinbahn AG
ex_addr:62,hasAddress,"Raboisen 38, 20095 Hamburg."
ex_comp:16,hasName,ElectronicPartner Handel SE
ex_comp:31,rdf:type,ex:Company
ex_comp:15,hasAddress,ex_addr:13
ex_comp:41,hasName,Eckelmann Umwelt Holding GmbH
ex_comp:8,hasName,AWS Personalmarketing GmbH
ex_addr:82,hasStreet,Balcke-Dürr-Allee 3
ex_addr:3,hasAddress,"Langenstraße 2-4, 28195 Bremen."
ex_comp:29,hasFNR,K1101R_HRB95200
ex_comp:43,hasName,LUISE Verwaltungs GmbH
ex_addr:1,hasStreet,Waidmannstraße 1
ex_comp:23,rdf:type,ex:Company
ex_comp:61,rdf:type,ex:Company
ex_addr:5,hasPLZ,40477
ex_addr:38,hasStreet,Fuhlsbüttler Straße 387
ex_comp:83,hasFNR,R1101_HRB78963
ex_addr:64,hasPLZ,c/o
ex_addr:76,hasPLZ,20354
ex_comp:27,hasName,Monheimer Biermanufactur GmbH
ex_comp:70,hasName,Wünsche Services GmbH
ex_addr:29,hasPLZ,22605
ex_addr:61,hasPLZ,21073
ex_comp:89,hasAddress,ex_addr:80
ex_addr:38,hasPLZ,22309
ex_addr:15,rdf:type,ex:Address
ex_comp:26,hasFNR,K1101R_HRB75540
ex_addr:16,hasStreet,Königsallee 106
ex_addr:86,hasCity,Hamburg.
ex_addr:60,rdf:type,ex:Address
ex_addr:20,hasPLZ,20457
ex_comp:37,rdf:type,ex:Company
ex_addr:53,hasAddress,"Marienstraße 33, 40210 Düsseldorf."
ex_addr:47,hasAddress,Katharinenstr.
ex_addr:20,hasStreet,Cremon 3
ex_comp:79,hasName,Gebäudereinigung Wolff GmbH
ex_comp:28,hasFNR,K1101R_HRB91642
ex_addr:14,rdf:type,ex:Address
ex_addr:28,hasStreet,Schiessstraße 60
ex_addr:61,rdf:type,ex:Address
ex_addr:87,hasAddress,"Königsallee 92a, 40212 Düsseldorf."
ex_addr:54,rdf:type,ex:Address
ex_comp:51,hasAddress,ex_addr:9
ex_comp:60,rdf:type,ex:Company
ex_comp:65,hasFNR,K1101R_HRB89103
ex_comp:52,hasAddress,ex_addr:49
ex_comp:65,hasAddress,ex_addr:60
ex_comp:94,rdf:type,ex:Company
ex_addr:86,hasAddress,"Borner Stieg 32, 22417 Hamburg."
ex_addr:70,hasAddress,Barsbütteler Str.
ex_addr:53,rdf:type,ex:Address
ex_addr:35,hasPLZ,20355
ex_comp:31,hasFNR,K1101R_HRB143087
ex_comp:100,hasAddress,ex_addr:90
ex_addr:12,rdf:type,ex:Address
ex_comp:63,hasName,Amber Shipping UG (haftungsbeschränkt) & Co. KG
ex_comp:73,hasAddress,ex_addr:66
ex_comp:2,hasAddress,ex_addr:2
ex_comp:2,hasName,BLUECHILLED Verwaltungs GmbH
ex_addr:57,hasCity,Bremen
ex_comp:42,hasFNR,K1101R_HRB136461
ex_addr:36,rdf:type,ex:Address
ex_addr:16,hasPLZ,40215
ex_comp:1,rdf:type,ex:Company
ex_addr:59,hasPLZ,40213
ex_comp:10,rdf:type,ex:Company
ex_addr:18,hasCity,Wuppertal.
ex_addr:30,hasPLZ,22303
ex_addr:NA,rdf:type,ex:Address
ex_comp:86,hasFNR,K1101R_HRB73963
ex_comp:33,hasName,Feedback Vermögensberatungs- und Vermittlungsgesellschaft mbH
ex_addr:63,rdf:type,ex:Address
ex_comp:7,hasFNR,K1101R_HRB82839
ex_addr:68,rdf:type,ex:Address
ex_addr:74,hasPLZ,40545
ex_addr:47,hasStreet,Katharinenstr.
ex_addr:78,hasStreet,Worthdamm 13-27
ex_addr:3,hasStreet,Langenstraße 2-4
ex_addr:78,rdf:type,ex:Address
ex_addr:19,hasAddress,"Neuer Steinweg 26, 20459 Hamburg."
ex_comp:77,hasAddress,ex_addr:70
ex_addr:24,hasPLZ,20354
ex_comp:71,hasFNR,K1101R_HRB106743
ex_addr:56,hasAddress,"Heidenkampsweg 99, 20097 Hamburg."
ex_addr:32,hasStreet,Barner Straße 45
ex_addr:77,hasPLZ,21129
ex_addr:79,hasAddress,"Krefelder Straße 85, 40549 Düsseldorf."
ex_comp:43,rdf:type,ex:Company
ex_addr:72,hasCity,Düsseldorf.
ex_comp:94,hasFNR,K1101R_HRB103106
ex_addr:18,hasStreet,Am Buschhäuschen 19
ex_addr:46,hasAddress,"Rosenstraße 2, 20095 Hamburg."
ex_addr:70,hasStreet,Barsbütteler Str.
ex_addr:49,rdf:type,ex:Address
ex_comp:7,hasAddress,ex_addr:7
ex_empl:624,employs,ex_name:443
ex_comp:90,hasName,WEHR BULKCARRIERS GmbH & Co KG
ex_addr:1,rdf:type,ex:Address
ex_comp:51,rdf:type,ex:Company
ex_comp:98,hasName,TRACOA GmbH
ex_addr:69,hasAddress,"Harderweg 1, 22549 Hamburg."
ex_addr:37,rdf:type,ex:Address
ex_addr:35,hasCity,Hamburg.
ex_addr:67,hasAddress,"Martinistraße 58, 28195 Bremen"
ex_comp:78,hasName,Mutabor Brandspaces GmbH
ex_empl:624,rdf:type,ex:Employment
ex_addr:37,hasPLZ,22529
ex_addr:18,hasPLZ,42115
ex_comp:80,hasName,He:Lee EXPO - Messe : Consulting : Project Management Verwaltungs GmbH
ex_comp:45,hasFNR,K1101R_HRB75822
ex_addr:72,hasStreet,Spichernstraße 34
ex_comp:71,rdf:type,ex:Company
ex_addr:46,hasPLZ,20095
ex_addr:22,hasStreet,Überseeallee 1
ex_comp:27,hasAddress,ex_addr:25
ex_addr:57,hasPLZ,28195
ex_addr:26,rdf:type,ex:Address
ex_addr:88,hasAddress,"Mittelweg 31, 20148 Hamburg."
ex_comp:50,hasName,Auerbach Trading GmbH
ex_comp:93,hasAddress,ex_addr:83
ex_comp:82,hasName,EQUINOX Investment GmbH
ex_comp:92,rdf:type,ex:Company
ex_comp:48,hasName,DZ HYP AG
ex_addr:29,hasCity,Hamburg.
ex_addr:43,hasCity,Hamburg.
ex_comp:11,hasName,HB-DIGITAL GmbH
ex_comp:32,rdf:type,ex:Company
ex_addr:85,hasCity,Bremen
ex_comp:87,rdf:type,ex:Company
ex_addr:6,hasAddress,"Lierenfelder Straße 42, 40231 Düsseldorf."
ex_addr:2,rdf:type,ex:Address
ex_addr:14,hasCity,Düsseldorf.
ex_comp:96,hasFNR,K1101R_HRB142783
ex_addr:66,hasStreet,Neustraße 45
ex_comp:95,hasName,ES Medien Agentur + Handelsgesellschaft mbH & Co. KG
ex_addr:28,rdf:type,ex:Address
ex_comp:76,hasName,AVASPA Bremen Vermietungsgesellschaft mbH
ex_comp:6,hasFNR,R1101_HRB562
ex_addr:6,hasStreet,Lierenfelder Straße 42
ex_comp:81,hasFNR,K1101R_HRB126642
ex_addr:21,hasStreet,Statthalterplatz c/o Kiosk am Bahnhof
ex_comp:46,hasFNR,K1101R_HRB102365
ex_addr:56,hasStreet,Heidenkampsweg 99
ex_addr:40,hasAddress,"Schulterblatt 58, 20357 Hamburg."
ex_addr:27,hasPLZ,22767
ex_addr:44,rdf:type,ex:Address
ex_addr:22,hasCity,Hamburg.
ex_comp:1,hasFNR,K1101R_HRB150148
ex_comp:16,rdf:type,ex:Company
ex_addr:1,hasPLZ,22769
ex_addr:61,hasAddress,"Bremer Straße 103a, 21073 Hamburg."
ex_comp:96,rdf:type,ex:Company
ex_addr:29,hasAddress,"Leipoldstieg 5, 22605 Hamburg."
ex_addr:17,hasAddress,"Gaußstraße 158, 22765 Hamburg."
ex_addr:2,hasAddress,Oststr.
ex_comp:44,hasAddress,ex_addr:42
ex_addr:27,hasStreet,Palmaille 120
ex_addr:82,rdf:type,ex:Address
ex_addr:68,hasCity,Düsseldorf.
ex_comp:18,hasName,SIEBTE PAXAS Treuhand- und Beteiligungsgesellschaft mbH
ex_addr:49,hasStreet,Derendorfer Allee 4
ex_addr:7,hasPLZ,22767
ex_comp:69,hasAddress,ex_addr:50
ex_addr:4,hasAddress,"Hans-Sachs-Straße 11, 40721 Hilden."
ex_comp:43,hasFNR,K1101R_HRB79100
ex_comp:75,hasAddress,ex_addr:68
ex_comp:84,hasFNR,K1101R_HRB138995
ex_addr:47,rdf:type,ex:Address
ex_addr:68,hasAddress,"Gerresheimer Straße 37, 40211 Düsseldorf."
ex_addr:3,rdf:type,ex:Address
ex_addr:37,hasStreet,Troplowitzstraße 20
ex_addr:84,hasCity,Hamburg.
ex_addr:15,hasCity,Hamburg.
ex_addr:81,hasStreet,Contrescarpe 8 c
ex_comp:69,hasFNR,K1101R_HRB117991
ex_comp:29,hasName,"""Renta Reederei"" GmbH"
ex_addr:49,hasCity,Düsseldorf.
ex_comp:93,hasFNR,R1101_HRB25617
ex_addr:14,hasPLZ,40472
ex_addr:6,rdf:type,ex:Address
ex_addr:10,hasAddress,"Große Elbstraße 38, 22767 Hamburg."
ex_comp:10,hasName,POX Media Verwaltungs GmbH
ex_comp:83,rdf:type,ex:Company
ex_comp:98,rdf:type,ex:Company
ex_comp:57,hasFNR,K1101R_HRB98062
ex_addr:30,hasAddress,"Goldbekplatz 1, 22303 Hamburg."
ex_addr:8,rdf:type,ex:Address
ex_comp:58,rdf:type,ex:Company
ex_addr:32,hasPLZ,22765
ex_addr:67,hasStreet,Martinistraße 58
ex_addr:2,hasStreet,Oststr.
ex_addr:60,hasCity,Hamburg.
ex_comp:46,rdf:type,ex:Company
ex_comp:60,hasName,Baumarkt Max Bahr Praktiker Einkaufs GmbH
ex_comp:22,hasFNR,K1101R_HRB103933
ex_comp:24,rdf:type,ex:Company
ex_comp:40,rdf:type,ex:Company
ex_comp:35,hasName,JANT Express-Logistik UG (haftungsbeschränkt)
ex_comp:17,hasName,Stadtküche GmbH
ex_addr:36,hasStreet,Benrather Straße 18-20
ex_comp:82,rdf:type,ex:Company
ex_addr:49,hasAddress,"Derendorfer Allee 4, 40476 Düsseldorf."
ex_addr:50,hasPLZ,22763
ex_addr:36,hasCity,Düsseldorf.
ex_addr:82,hasPLZ,40882
ex_addr:53,hasStreet,Marienstraße 33
ex_addr:76,hasStreet,Große Bleichen 31
ex_addr:60,hasAddress,"Mattentwiete 1, 20457 Hamburg."
ex_comp:73,hasFNR,R1101_HRB62068
ex_comp:98,hasAddress,ex_addr:88
ex_comp:2,rdf:type,ex:Company
ex_comp:37,hasFNR,K1101R_HRA104534
ex_comp:39,rdf:type,ex:Company
ex_comp:19,hasName,"""ad fontes"" Solartechnik GmbH"
ex_addr:61,hasStreet,Bremer Straße 103a
ex_addr:3,hasPLZ,28195
ex_addr:23,hasCity,Hamburg.
ex_comp:2,hasFNR,R1101_HRB81092
ex_comp:46,hasName,AMB Trade GmbH
ex_addr:39,rdf:type,ex:Address
ex_addr:78,hasCity,Hamburg.
ex_addr:79,hasCity,Düsseldorf.
ex_addr:25,hasPLZ,40789
ex_comp:35,rdf:type,ex:Company
ex_addr:10,hasStreet,Große Elbstraße 38
ex_comp:40,hasName,Verwaltung Projektgesellschaft Marco Polo Tower GmbH
ex_comp:49,rdf:type,ex:Company
ex_addr:51,hasAddress,Orleansstr.
ex_comp:4,hasAddress,ex_addr:4
ex_comp:53,hasAddress,ex_addr:50
ex_comp:78,hasFNR,K1101R_HRB95193
ex_addr:58,hasAddress,"Teerhof 59, 28199 Bremen.."
ex_addr:56,rdf:type,ex:Address
ex_comp:96,hasAddress,ex_addr:86
ex_comp:67,hasFNR,K1101R_HRB88602
ex_addr:45,hasPLZ,20459
ex_addr:63,hasAddress,"Domstraße 19, 20095 Hamburg."
ex_addr:33,rdf:type,ex:Address
ex_comp:27,hasFNR,R1101_HRB74015
ex_comp:86,hasAddress,ex_addr:78
ex_comp:20,hasFNR,R1101_HRB63845
ex_comp:64,hasFNR,R1101_HRA19353
ex_comp:96,hasName,Dewigo (Dealing with goods) UG (haftungsbeschränkt)
ex_comp:92,hasFNR,R1101_HRB1703
ex_comp:39,hasAddress,ex_addr:37
ex_comp:47,hasAddress,ex_addr:45
ex_comp:42,rdf:type,ex:Company
ex_addr:36,hasAddress,"Benrather Straße 18-20, 40213 Düsseldorf."
ex_comp:1,hasAddress,ex_addr:1
ex_addr:26,hasCity,Hamburg.
ex_addr:45,hasAddress,"Ludwig-Erhard-Straße 22, 20459 Hamburg."
ex_comp:54,rdf:type,ex:Company
ex_comp:21,rdf:type,ex:Company
ex_comp:17,hasAddress,ex_addr:15
ex_comp:56,hasAddress,ex_addr:53
ex_addr:44,hasStreet,Mühlenhagen 130
ex_addr:37,hasAddress,"Troplowitzstraße 20, 22529 Hamburg."
ex_comp:63,hasFNR,H1101_H1101_HRA24477
ex_comp:23,hasFNR,K1101R_HRB119632
ex_comp:54,hasFNR,H1101_H1101_HRB19233
ex_comp:49,hasAddress,ex_addr:47
ex_comp:67,hasName,"Verwaltungsgesellschaft MS ""Barmbek"" mbH"
ex_comp:69,hasName,"MS ""Favourisation"" Verwaltung GmbH"
ex_comp:100,hasName,Harburg-Freudenberger Maschinenbau GmbH
ex_addr:44,hasCity,Hamburg.
ex_addr:11,hasStreet,Wahlerstraße 16
ex_comp:11,rdf:type,ex:Company
ex_comp:75,hasFNR,R1101_HRB79984
ex_addr:40,rdf:type,ex:Address
ex_addr:57,hasAddress,"Tiefer 15, 28195 Bremen"
ex_addr:80,hasPLZ,22337
ex_comp:48,hasFNR,K1101R_HRB5604
ex_addr:18,rdf:type,ex:Address
ex_comp:99,rdf:type,ex:Company
ex_addr:48,hasAddress,Ronsdorfer Str.
ex_addr:53,hasPLZ,40210
ex_addr:21,hasCity,Hamburg.
ex_comp:61,hasFNR,R1101_HRB36441
ex_addr:41,hasCity,Hamburg.
ex_comp:52,rdf:type,ex:Company
ex_empl:624,worksAt,ex_comp:74
ex_addr:42,hasAddress,"Spielbudenplatz 27-28, 20359 Hamburg."
ex_addr:87,hasPLZ,40212
ex_comp:25,hasName,Comfort Hamburg Gesellschaft für Geschäftsflächen und Unternehmensvermittlung mbH
ex_comp:19,rdf:type,ex:Company
ex_comp:99,hasAddress,ex_addr:89
ex_addr:13,hasCity,Hamburg.
ex_comp:42,hasAddress,ex_addr:40
ex_addr:37,hasCity,Hamburg.
ex_comp:91,hasFNR,H1101_H1101_HRB30009
ex_comp:72,hasAddress,ex_addr:65
ex_comp:63,hasAddress,ex_addr:58
ex_comp:88,hasName,VIERTE Fonds-Beteiligungsgesellschaft mbH
ex_comp:77,hasFNR,K1101R_HRB118781
ex_addr:83,rdf:type,ex:Address
ex_comp:61,hasName,Victoria Lebensversicherung Aktiengesellschaft
ex_comp:5,rdf:type,ex:Company
ex_comp:100,hasFNR,K1101R_HRB64651
ex_addr:6,hasCity,Düsseldorf.
ex_comp:93,hasName,Lampe Asset Management GmbH
ex_comp:60,hasFNR,K1101R_HRB124341
