subject,predicate,object
ex_comp:46,hasAddress,ex_addr:44
ex_addr:11,hasPLZ,40472
ex_comp:18,hasAddress,ex_addr:16
ex_comp:17,rdf:type,ex:Company
ex_addr:20,hasCity,Hamburg.
ex_addr:23,hasPLZ,20095
ex_addr:79,hasPLZ,40549
ex_addr:48,hasStreet,Ronsdorfer Str.
ex_comp:38,hasAddress,ex_addr:36
ex_comp:70,rdf:type,ex:Company
ex_comp:13,hasFNR,H1101_H1101_HRB33397
ex_comp:87,hasFNR,R1101_HRB27849
ex_addr:45,rdf:type,ex:Address
ex_comp:43,hasAddress,ex_addr:41
ex_comp:73,rdf:type,ex:Company
ex_addr:71,hasPLZ,22393
ex_comp:24,hasFNR,K1101R_HRB131125
ex_comp:67,hasAddress,ex_addr:62
ex_addr:24,rdf:type,ex:Address
ex_comp:80,hasAddress,ex_addr:72
ex_comp:49,hasFNR,K1101R_HRB141956
ex_comp:95,rdf:type,ex:Company
ex_addr:27,rdf:type,ex:Address
ex_comp:7,rdf:type,ex:Company
ex_comp:45,hasName,"Verwaltung Schiffahrts-Gesellschaft ""HANSA BRANDENBURG"" mbH"
ex_addr:42,hasPLZ,20359
ex_addr:89,hasStreet,Zur Westpier 40
ex_addr:15,hasPLZ,22525
ex_comp:33,hasFNR,K1101R_HRB105553
ex_addr:85,rdf:type,ex:Address
ex_addr:75,hasAddress,Alte Bottroper Str.
ex_comp:6,hasAddress,ex_addr:6
ex_addr:62,hasStreet,Raboisen 38
ex_addr:80,hasCity,Hamburg.
ex_comp:45,hasAddress,ex_addr:43
ex_comp:68,hasName,Närrische Frauen Himmelgeist e.V.
ex_addr:10,hasPLZ,22767
ex_addr:35,hasStreet,Caffamacherreihe 7
ex_addr:57,rdf:type,ex:Address
ex_comp:92,hasName,Verwaltungsgesellschaft EGRIMA mbH
ex_addr:40,hasCity,Hamburg.
ex_addr:33,hasCity,Düsseldorf.
ex_addr:82,hasCity,Ratingen.
ex_addr:55,hasAddress,Unnastr.
ex_comp:64,hasName,REDEVCO Logistics Güdderath GmbH & Co. OHG
ex_addr:62,hasPLZ,20095
ex_comp:47,hasFNR,K1101R_HRB58718
ex_comp:62,rdf:type,ex:Company
ex_addr:59,hasStreet,Carl-Theodor-Straße 6
ex_addr:79,rdf:type,ex:Address
ex_comp:65,rdf:type,ex:Company
ex_addr:32,hasCity,Hamburg.
ex_comp:86,rdf:type,ex:Company
ex_comp:11,hasAddress,ex_addr:11
ex_comp:89,hasName,GENIGO GmbH
ex_comp:64,hasAddress,ex_addr:59
ex_addr:69,rdf:type,ex:Address
ex_comp:4,rdf:type,ex:Company
ex_comp:72,hasName,Kröger Baugeräte Service GmbH
ex_addr:8,hasCity,Hamburg.
ex_comp:55,rdf:type,ex:Company
ex_addr:40,hasStreet,Schulterblatt 58
ex_addr:3,hasCity,Bremen.
ex_addr:83,hasCity,Düsseldorf.
ex_addr:78,hasAddress,"Worthdamm 13-27, 20457 Hamburg."
ex_comp:33,rdf:type,ex:Company
ex_addr:75,hasStreet,Alte Bottroper Str.
ex_comp:12,hasFNR,K1101R_HRA93667
ex_addr:43,hasStreet,Neumühlen 13
ex_addr:89,hasAddress,"Zur Westpier 40, 28755 Bremen."
ex_addr:90,hasCity,Hamburg.
ex_addr:27,hasAddress,"Palmaille 120, 22767 Hamburg."
ex_comp:22,hasName,Verwaltung NORDCAPITAL Schiffsportfolio 4 GmbH
ex_comp:58,hasFNR,K1101R_HRB1787
ex_addr:65,hasStreet,Löpelborg 8
ex_addr:55,hasStreet,Unnastr.
ex_addr:83,hasPLZ,40479
ex_comp:74,hasFNR,H1101_H1101_HRA17696
ex_addr:66,hasAddress,"Neustraße 45, 40721 Hilden."
ex_addr:71,hasStreet,Saseler Bogen 3
ex_addr:43,hasAddress,"Neumühlen 13, 22763 Hamburg."
ex_comp:75,hasName,TT Trading GmbH
ex_addr:34,hasAddress,Luftfrachthof-Geb.
ex_addr:66,hasCity,Hilden.
ex_comp:77,rdf:type,ex:Company
ex_addr:73,hasAddress,"Neuländer Kamp 1a, 21079 Hamburg."
ex_addr:11,rdf:type,ex:Address
ex_comp:13,hasName,wpd Windparks Westfalen IV GmbH
ex_addr:77,hasAddress,"Finkenwerder Norderdeich 133, 21129 Hamburg."
ex_addr:7,rdf:type,ex:Address
ex_comp:23,hasAddress,ex_addr:21
ex_addr:39,hasPLZ,20359
ex_addr:26,hasStreet,Winsbergring 15
ex_addr:52,rdf:type,ex:Address
ex_addr:26,hasPLZ,22525
ex_addr:71,rdf:type,ex:Address
ex_addr:55,rdf:type,ex:Address
ex_comp:52,hasName,[m]SCIENCE GmbH
ex_comp:61,hasAddress,ex_addr:5
ex_comp:88,hasFNR,R1101_HRB54999
ex_comp:37,hasAddress,ex_addr:35
ex_comp:97,hasFNR,R1101_HRB38642
ex_addr:31,hasCity,Hamburg.
ex_addr:76,hasCity,Hamburg.
ex_comp:53,hasFNR,K1101R_HRB97760
ex_comp:72,rdf:type,ex:Company
ex_addr:7,hasAddress,"Königstraße 28, 22767 Hamburg."
ex_addr:77,rdf:type,ex:Address
ex_addr:49,hasPLZ,40476
ex_addr:42,hasCity,Hamburg.
ex_addr:19,hasCity,Hamburg.
ex_comp:88,rdf:type,ex:Company
ex_comp:5,hasName,ITERGO Informationstechnologie GmbH
ex_comp:77,hasName,TOL Time of Luxury GmbH
ex_addr:65,hasAddress,"Löpelborg 8, 28755 Bremen"
ex_addr:90,hasPLZ,21079
ex_comp:10,hasAddress,ex_addr:10
ex_comp:48,hasAddress,ex_addr:46
ex_comp:85,hasFNR,K1101R_HRB129147
ex_addr:87,rdf:type,ex:Address
ex_comp:18,rdf:type,ex:Company
ex_comp:23,hasName,HCG Hanse Convenience GmbH
ex_comp:54,hasAddress,ex_addr:51
ex_addr:14,hasAddress,"Mündelheimer Weg 40, 40472 Düsseldorf."
ex_comp:98,hasFNR,K1101R_HRB123809
ex_addr:38,hasAddress,"Fuhlsbüttler Straße 387, 22309 Hamburg."
ex_comp:55,hasAddress,ex_addr:52
ex_addr:50,rdf:type,ex:Address
ex_addr:19,hasStreet,Neuer Steinweg 26
ex_comp:69,rdf:type,ex:Company
ex_comp:87,hasAddress,ex_addr:79
ex_addr:86,rdf:type,ex:Address
ex_comp:34,hasFNR,K1101R_HRB117903
ex_comp:91,hasAddress,ex_addr:81
ex_addr:43,hasPLZ,22763
ex_comp:14,hasFNR,R1101_HRB63476
ex_comp:36,hasName,SEABRIDGE Transport GmbH
ex_comp:56,rdf:type,ex:Company
ex_addr:54,hasCity,Hamburg.
ex_comp:51,hasName,Poertzgen GmbH Unternehmensberatung
ex_addr:5,rdf:type,ex:Address
ex_comp:8,hasAddress,ex_addr:8
ex_addr:6,hasPLZ,40231
ex_addr:23,hasAddress,"Mönckebergstraße 13, 20095 Hamburg."
ex_addr:85,hasPLZ,28203
ex_comp:82,hasAddress,ex_addr:74
ex_comp:30,rdf:type,ex:Company
ex_addr:38,hasCity,Hamburg.
ex_addr:61,hasCity,Hamburg.
ex_addr:82,hasAddress,"Balcke-Dürr-Allee 3, 40882 Ratingen."
ex_comp:26,rdf:type,ex:Company
ex_comp:36,hasFNR,K1101R_HRB28646
ex_addr:14,hasStreet,Mündelheimer Weg 40
ex_addr:83,hasAddress,"Jägerhofstraße 10, 40479 Düsseldorf."
ex_comp:59,hasAddress,ex_addr:9
ex_comp:95,hasFNR,H1101_H1101_HRA25576
ex_comp:49,hasName,ZAEVERS GmbH
ex_comp:59,hasName,AGARBA Grundstücks-Vermietungsgesellschaft mbH
ex_addr:86,hasPLZ,22417
ex_comp:47,rdf:type,ex:Company
ex_addr:85,hasStreet,Ostertorsteinweg 85
ex_addr:58,hasPLZ,28199
ex_comp:81,hasAddress,ex_addr:73
ex_comp:21,hasFNR,K1101R_HRB151714
ex_addr:52,hasCity,Hamburg.
ex_addr:71,hasCity,Hamburg.
ex_comp:82,hasFNR,R1101_HRB70961
ex_addr:69,hasCity,Hamburg.
ex_addr:66,hasPLZ,40721
ex_addr:52,hasPLZ,20457
ex_addr:1,hasCity,Hamburg.
ex_addr:77,hasCity,Hamburg.
ex_addr:80,hasStreet,Am Stein 46
ex_addr:30,rdf:type,ex:Address
ex_addr:73,rdf:type,ex:Address
ex_addr:74,hasStreet,Dominikanerstraße 24
ex_addr:57,hasStreet,Tiefer 15
ex_addr:52,hasStreet,Am Kaiserkai 69
ex_addr:87,hasCity,Düsseldorf.
ex_comp:9,hasFNR,K1101R_PR190
ex_comp:76,rdf:type,ex:Company
ex_comp:32,hasAddress,ex_addr:30
ex_addr:25,rdf:type,ex:Address
ex_comp:59,rdf:type,ex:Company
ex_comp:90,hasFNR,K1101R_HRA96011
ex_addr:75,rdf:type,ex:Address
ex_addr:40,hasPLZ,20357
ex_addr:24,hasStreet,Gustav-Mahler-Platz 1
ex_comp:40,hasFNR,K1101R_HRB106228
ex_comp:40,hasAddress,ex_addr:38
ex_comp:8,hasFNR,K1101R_HRB29079
ex_addr:51,hasStreet,Orleansstr.
ex_addr:35,hasAddress,"Caffamacherreihe 7, 20355 Hamburg."
ex_addr:80,hasAddress,"Am Stein 46, 22337 Hamburg."
ex_comp:91,rdf:type,ex:Company
ex_comp:79,rdf:type,ex:Company
ex_addr:7,hasCity,Hamburg.
ex_comp:9,hasName,Rembert Rechtsanwälte Rembert Müller Putzier + Partner eingetragene Partnerschaft mit beschränkter Berufshaftung
ex_addr:59,rdf:type,ex:Address
ex_addr:10,rdf:type,ex:Address
ex_comp:100,rdf:type,ex:Company
ex_addr:63,hasCity,Hamburg.
ex_addr:87,hasStreet,Königsallee 92a
ex_comp:50,hasAddress,ex_addr:48
ex_addr:28,hasAddress,"Schiessstraße 60, 40549 Düsseldorf."
ex_addr:76,hasAddress,"Große Bleichen 31, 20354 Hamburg."
ex_addr:8,hasStreet,Hans-Henny-Jahnn-Weg 41-45
ex_addr:68,hasStreet,Gerresheimer Straße 37
ex_comp:74,hasAddress,ex_addr:67
ex_comp:38,hasFNR,R1101_HRB72204
ex_comp:94,hasAddress,ex_addr:84
ex_comp:24,hasAddress,ex_addr:22
ex_comp:81,hasName,Eurofins GSC Germany GmbH
ex_addr:86,hasStreet,Borner Stieg 32
ex_comp:65,hasName,"Verwaltung ""MS Sophie"" Schifffahrtsgesellschaft mbH"
ex_comp:41,hasFNR,K1101R_HRB32784
ex_addr:41,hasPLZ,22763
ex_addr:58,hasStreet,Teerhof 59
ex_comp:3,hasName,Mittelständische Beteiligungsgesellschaft Bremen mbH
ex_comp:67,rdf:type,ex:Company
ex_comp:57,hasAddress,ex_addr:54
ex_comp:66,hasAddress,ex_addr:61
ex_addr:35,rdf:type,ex:Address
ex_comp:20,hasName,Ferox Zweite Holding GmbH
ex_addr:84,hasStreet,Hartungstraße 12
ex_addr:18,hasAddress,"Am Buschhäuschen 19,, 42115 Wuppertal."
ex_addr:39,hasCity,Hamburg.
ex_comp:3,hasFNR,H1101_H1101_HRB18423
ex_comp:78,rdf:type,ex:Company
ex_comp:32,hasFNR,K1101R_HRA121233
ex_addr:52,hasAddress,"Am Kaiserkai 69, 20457 Hamburg."
ex_addr:59,hasAddress,"Carl-Theodor-Straße 6, 40213 Düsseldorf."
ex_comp:53,hasName,"Verwaltung MS ""HAMMONIA TOSCANA"" GmbH"
ex_addr:24,hasAddress,"Gustav-Mahler-Platz 1, 20354 Hamburg."
ex_addr:39,hasStreet,Bei den St. Pauli Landungsbrücken 3
ex_addr:4,hasPLZ,40721
ex_comp:12,rdf:type,ex:Company
ex_comp:22,rdf:type,ex:Company
ex_addr:50,hasStreet,Neumühlen 9
ex_addr:32,hasAddress,"Barner Straße 45, 22765 Hamburg."
ex_addr:5,hasCity,Düsseldorf.
ex_addr:84,hasAddress,"Hartungstraße 12, 20146 Hamburg."
ex_comp:12,hasAddress,ex_addr:9
ex_comp:85,hasName,Luzemann Services Verwaltungsgesellschaft mbH
ex_comp:57,hasName,SMK Verwertungsgesellschaft mbH
ex_addr:4,rdf:type,ex:Address
ex_comp:58,hasAddress,ex_addr:55
ex_addr:9,rdf:type,ex:Address
ex_addr:39,hasAddress,"Bei den St. Pauli Landungsbrücken 3, 20359 Hamburg."
ex_comp:39,hasName,NXP Semiconductors Germany GmbH
ex_comp:79,hasAddress,ex_addr:71
ex_addr:11,hasCity,Düsseldorf.
ex_addr:16,hasAddress,"Königsallee 106, 40215 Düsseldorf."
ex_addr:67,hasPLZ,28195
ex_comp:20,rdf:type,ex:Company
ex_comp:57,rdf:type,ex:Company
ex_comp:62,hasFNR,H1101_H1101_HRB33484
ex_comp:84,hasName,BLVÈ UG (haftungsbeschränkt)
ex_comp:99,hasName,Muehlhan Deutschland GmbH
ex_empl:624,position,Prokurist
ex_comp:28,rdf:type,ex:Company
ex_comp:78,hasAddress,ex_addr:7
ex_comp:34,hasName,W247 web app systems UG (haftungsbeschränkt)
ex_comp:66,hasFNR,K1101R_HRB131199
ex_comp:68,hasAddress,ex_addr:9
ex_addr:64,hasCity,Matzen
ex_comp:56,hasName,Alessio Analytics UG (haftungsbeschränkt)
ex_addr:66,rdf:type,ex:Address
ex_addr:67,hasCity,Bremen
ex_comp:25,hasFNR,K1101R_HRB80939
ex_addr:11,hasAddress,"Wahlerstraße 16, 40472 Düsseldorf."
ex_addr:59,hasCity,Düsseldorf.
ex_addr:67,rdf:type,ex:Address
ex_comp:97,hasAddress,ex_addr:87
ex_addr:72,hasAddress,"Spichernstraße 34, 40476 Düsseldorf."
ex_comp:44,hasFNR,K1101R_HRB107269
ex_comp:59,hasFNR,R1101_HRB37943
ex_addr:72,hasPLZ,40476
ex_comp:55,hasFNR,K1101R_HRB124404
ex_comp:62,hasAddress,ex_addr:57
ex_addr:5,hasStreet,ERGO-Platz 1
ex_addr:8,hasAddress,"Hans-Henny-Jahnn-Weg 41-45, 22085 Hamburg."
ex_comp:14,hasName,Palletways Deutschland GmbH
ex_addr:4,hasStreet,Hans-Sachs-Straße 11
ex_comp:35,hasAddress,ex_addr:33
ex_comp:64,rdf:type,ex:Company
ex_comp:90,rdf:type,ex:Company
ex_comp:90,hasAddress,ex_addr:9
ex_comp:7,hasName,Verwaltung IFÖ Zweite Immobilienfonds für Österreich GmbH
ex_addr:31,hasPLZ,20354
ex_addr:54,hasAddress,"Mattentwiete 6, 20457 Hamburg."
ex_addr:17,rdf:type,ex:Address
ex_comp:5,hasAddress,ex_addr:5
ex_comp:62,hasName,LuMa Projektentwicklungs-GmbH
ex_addr:22,hasPLZ,20457
ex_addr:84,hasPLZ,20146
ex_addr:1,hasAddress,"Waidmannstraße 1, 22769 Hamburg."
ex_addr:43,rdf:type,ex:Address
ex_addr:8,hasPLZ,22085
ex_comp:19,hasFNR,K1101R_HRB67520
ex_addr:25,hasAddress,"Rhenaniastraße 16, 40789 Monheim am Rhein."
ex_comp:99,hasFNR,H1101_H1101_HRB19715
ex_addr:88,hasStreet,Mittelweg 31
ex_addr:41,hasAddress,"Friedensallee 271, 22763 Hamburg."
ex_comp:74,rdf:type,ex:Company
ex_addr:56,hasPLZ,20097
ex_addr:63,hasPLZ,20095
ex_addr:22,hasAddress,"Überseeallee 1, 20457 Hamburg."
ex_addr:64,rdf:type,ex:Address
ex_comp:17,hasFNR,K1101R_HRB133214
ex_comp:84,rdf:type,ex:Company
ex_addr:73,hasStreet,Neuländer Kamp 1a
ex_comp:68,rdf:type,ex:Company
ex_comp:41,rdf:type,ex:Company
ex_comp:39,hasFNR,K1101R_HRB84865
ex_comp:72,hasFNR,H1101_H1101_HRB16653
ex_addr:71,hasAddress,"Saseler Bogen 3, 22393 Hamburg."
ex_comp:29,hasAddress,ex_addr:27
ex_comp:31,hasName,FB trust GmbH
ex_addr:74,rdf:type,ex:Address
ex_addr:54,hasStreet,Mattentwiete 6
ex_comp:41,hasAddress,ex_addr:39
ex_comp:73,hasName,Achte display system GmbH
ex_comp:93,rdf:type,ex:Company
ex_addr:89,hasPLZ,28755
ex_comp:50,hasFNR,R1101_HRB62678
ex_addr:45,hasCity,Hamburg.
ex_comp:76,hasAddress,ex_addr:69
ex_comp:42,hasName,Factor Design Verwaltungs GmbH
ex_comp:76,hasFNR,K1101R_HRB134994
ex_addr:89,hasCity,Bremen.
ex_comp:24,hasName,FAP Beteiligungsgesellschaft mbH
ex_comp:30,hasAddress,ex_addr:28
ex_comp:66,hasName,AL Aman Engineering and Trading UG (haftungsbeschränkt)
ex_comp:70,hasFNR,K1101R_HRB88029
ex_addr:84,rdf:type,ex:Address
ex_comp:80,hasFNR,R1101_HRB68329
ex_comp:95,hasAddress,ex_addr:85
ex_comp:66,rdf:type,ex:Company
ex_addr:56,hasCity,Hamburg.
ex_addr:50,hasAddress,"Neumühlen 9, 22763 Hamburg."
ex_addr:81,rdf:type,ex:Address
ex_addr:41,rdf:type,ex:Address
ex_comp:4,hasName,Albert Barufe GmbH
ex_comp:97,hasName,NPC HOTELENTWICKLUNGS U. - MANAGEMENT GmbH
ex_empl:624,endDate,2013-04-08
ex_addr:73,hasCity,Hamburg.
ex_addr:26,hasAddress,"Winsbergring 15, 22525 Hamburg."
ex_comp:21,hasAddress,ex_addr:19
ex_comp:27,rdf:type,ex:Company
ex_addr:31,hasStreet,Neuer Wall 54
ex_comp:16,hasFNR,R1101_HRB61492
ex_comp:21,hasName,Yücebudak IT & Vertrieb UG (haftungsbeschränkt)
ex_addr:62,rdf:type,ex:Address
ex_addr:81,hasAddress,"Contrescarpe 8 c, 28203 Bremen"
ex_comp:5,hasFNR,R1101_HRB37996
ex_comp:30,hasName,Dura Automotive Systems GmbH
ex_addr:12,hasAddress,Kaiserswerther Str.
ex_comp:19,hasAddress,ex_addr:17
ex_addr:48,rdf:type,ex:Address
ex_addr:64,hasAddress,"Neuer Wall 55, c/o Matzen & Partner, 20354 Hamburg."
ex_addr:34,hasStreet,Luftfrachthof-Geb.
ex_addr:16,rdf:type,ex:Address
ex_comp:36,hasAddress,ex_addr:34
ex_comp:34,hasAddress,ex_addr:32
ex_comp:83,hasName,Sell Facility Services GmbH
ex_addr:21,hasAddress,"Statthalterplatz c/o Kiosk am Bahnhof, 22605 Hamburg."
ex_addr:33,hasAddress,"Am Schüttenhof 16, 40472 Düsseldorf."
ex_addr:54,hasPLZ,20457
ex_comp:84,hasAddress,ex_addr:76
ex_addr:23,hasStreet,Mönckebergstraße 13
ex_addr:23,rdf:type,ex:Address
ex_addr:44,hasPLZ,20539
ex_addr:70,rdf:type,ex:Address
ex_addr:68,hasPLZ,40211
ex_comp:35,hasFNR,R1101_HRB66409
ex_addr:60,hasPLZ,20457
ex_comp:51,hasFNR,R1101_HRB58874
ex_comp:47,hasName,Verwaltung ZEABORN Ship Management GmbH
ex_addr:28,hasPLZ,40549
ex_addr:77,hasStreet,Finkenwerder Norderdeich 133
ex_comp:71,hasAddress,ex_addr:64
ex_comp:92,hasAddress,ex_addr:82
ex_comp:18,hasFNR,R1101_HRB47559
ex_comp:68,hasFNR,R1101_VR10715
ex_comp:53,rdf:type,ex:Company
ex_addr:21,rdf:type,ex:Address
ex_addr:88,rdf:type,ex:Address
ex_addr:90,hasAddress,"Seevestraße 1, 21079 Hamburg."
ex_comp:3,hasAddress,ex_addr:3
ex_addr:74,hasCity,Düsseldorf.
ex_addr:12,hasStreet,Kaiserswerther Str.
ex_addr:24,hasCity,Hamburg.
ex_addr:73,hasPLZ,21079
ex_addr:64,hasStreet,Neuer Wall 55
ex_addr:27,hasCity,Hamburg.
ex_addr:81,hasCity,Bremen
ex_addr:89,rdf:type,ex:Address
ex_comp:4,hasFNR,R1101_HRB45109
ex_addr:25,hasCity,Monheim
ex_addr:74,hasAddress,"Dominikanerstraße 24, 40545 Düsseldorf."
ex_addr:78,hasPLZ,20457
ex_comp:32,hasName,Can Koi Ibiza GmbH & Co. KG
ex_comp:36,rdf:type,ex:Company
ex_comp:55,hasName,Ojooo Vo GmbH
ex_comp:89,hasFNR,K1101R_HRB134246
ex_addr:65,hasPLZ,28755
ex_addr:13,hasPLZ,22761
ex_addr:17,hasCity,Hamburg.
ex_addr:4,hasCity,Hilden.
ex_comp:11,hasFNR,R1101_HRB69455
ex_addr:13,rdf:type,ex:Address
ex_comp:79,hasFNR,K1101R_HRB36153
ex_comp:81,rdf:type,ex:Company
ex_comp:37,hasName,Schiffsfonds Ownership Tonnage VII GmbH & Co. KG
ex_comp:87,hasName,Molten Europe GmbH
ex_name:1,rdf:type,ex:Name
